pl_bmasse,pl_orbper,pl_eqt,st_teff,st_rad,pl_rade,pl_name,discoverymethod,y,planet_type
425.25654,16.254611,814.0,5846.0,1.091,8.709393,HATS-17 b,Transit,3,Gas Giant
629.144485,0.83784,2069.48,5600.0,1.02,14.896761,HATS-18 b,Transit,3,Gas Giant
435.42491759,1.35413379,1550.0,5227.0,0.876,12.57647635,HATS-2 b,Transit,3,Gas Giant
870.8542,4.7228124,858.0,4803.0,0.689,10.682177,HATS-22 b,Transit,3,Gas Giant
467.2101,2.1605156,1654.0,5780.0,1.199,20.84874,HATS-23 b,Transit,3,Gas Giant
718.2958,1.3484978,2166.0,6125.0,1.12,15.636555,HATS-24 b,Transit,3,Gas Giant
194.82979,4.2986432,1277.0,5715.0,1.107,14.12334,HATS-25 b,Transit,3,Gas Giant
206.5895,3.3023881,1918.0,6071.0,2.04,19.61575,HATS-26 b,Transit,3,Gas Giant
168.4499,4.637038,1659.0,6438.0,1.74,16.8135,HATS-27 b,Transit,3,Gas Giant
213.58176,3.1810781,1253.0,5498.0,0.922,13.383546,HATS-28 b,Transit,3,Gas Giant
207.54299,4.6058749,1212.0,5670.0,1.073,14.022459,HATS-29 b,Transit,3,Gas Giant
340.382,3.547851,1648.0,6351.0,1.404,15.48,HATS-3 b,Transit,3,Gas Giant
224.38798,3.1743516,1414.0,5943.0,1.061,13.170575,HATS-30 b,Transit,3,Gas Giant
279.6904,3.37796,1823.0,6050.0,1.87,18.38276,HATS-31 b,Transit,3,Gas Giant
292.4036,2.8126548,1437.0,5700.0,1.097,14.000041,HATS-32 b,Transit,3,Gas Giant
378.85336,2.5495551,1429.0,5659.0,1.022,13.78707,HATS-33 b,Transit,3,Gas Giant
299.07803,2.1061607,1445.0,5380.0,0.98,16.02887,HATS-34 b,Transit,3,Gas Giant
388.38826,1.8209993,2037.0,6300.0,1.433,16.409976,HATS-35 b,Transit,3,Gas Giant
1022.14128,4.175186,1203.0,5950.0,1.1,12.92,HATS-36 b,Transit,3,Gas Giant
31.46517,4.3315366,1085.0,5326.0,0.877,6.792654,HATS-37 A b,Transit,3,Gas Giant
23.51942,4.375021,1294.0,5732.0,1.105,6.882326,HATS-38 b,Transit,3,Gas Giant
200.2329,4.5776348,1645.0,6572.0,1.621,17.59813,HATS-39 b,Transit,3,Gas Giant
420.471,2.516729,1315.0,5403.0,0.925,11.433,HATS-4 b,Transit,3,Gas Giant
505.3497,3.2642736,2101.0,6460.0,2.26,17.71022,HATS-40 b,Transit,3,Gas Giant
3082.951,4.193649,1710.0,6424.0,1.71,14.90797,HATS-41 b,Transit,3,Gas Giant
597.5204,2.292102,1856.0,6060.0,1.48,15.6926,HATS-42 b,Transit,3,Gas Giant
82.95363,4.3888497,1003.0,5099.0,0.812,13.22662,HATS-43 b,Transit,3,Gas Giant
177.9848,2.7439004,1161.0,5080.0,0.847,11.960003,HATS-44 b,Transit,3,Gas Giant
222.481,4.1876244,1518.0,6450.0,1.315,14.414774,HATS-45 b,Transit,3,Gas Giant
54.98459,4.7423729,1054.0,5495.0,0.853,10.121727,HATS-46 b,Transit,3,Gas Giant
117.27927,3.9228038,852.9,4512.0,0.6564,12.520453,HATS-47 b,Transit,3,Gas Giant
77.23269,3.1316666,954.6,4546.0,0.7152,8.9672,HATS-48 A b,Transit,3,Gas Giant
112.19399,4.1480467,834.8,4405.0,0.6977,8.574885,HATS-49 b,Transit,3,Gas Giant
75.323,4.763387,1025.0,5304.0,0.871,10.223,HATS-5 b,Transit,3,Gas Giant
123.9537,3.8297015,1275.39,5990.0,1.117,12.66617,HATS-50 b,Transit,3,Gas Giant
244.09344,3.3488702,1553.0,5758.0,1.44,15.80469,HATS-51 b,Transit,3,Gas Giant
